drug_id,protein_id,affinity
146,94,13.000008766
147,33,11.200000128
148,95,11.800000504
149,96,11.200000128
150,0,13.399988938
151,97,13.869806696
152,98,11.1
153,99,14.299970641
154,84,11.1
155,5,11.900000875
156,38,11.800000504
157,60,11.300000237
158,100,11.599999679
159,0,11.500000186
160,91,11.200000128
26,13,11.401029996
161,101,11.1
162,28,11.400000202
163,102,11.999998417
164,13,13.003089987
165,89,12.799991797
166,103,11.999998417
167,104,11.923908741
136,105,12.923908741
168,106,11.1
169,107,11.300000237
170,108,10.622878745
171,32,11.1
172,103,12.499996913
166,109,11.200000128
173,110,12.199999035
137,61,11.404664894
174,111,12.499996913
175,18,13.899970733
176,52,11.800000504
177,112,13.399988938
178,0,11.1
179,105,12.568521083
180,113,11.4439113215
181,47,11.300000237
182,63,10.145757491
183,85,13.99997427
184,114,10.400000029
8,115,11.900000875
185,116,11.200000128
186,92,11.500000186
187,74,11.900000875
188,117,11.200000128
189,118,12.020818754
190,119,10.1
190,120,10.1
191,121,15.1
192,70,10.622878745
193,71,11.800000504
194,24,11.200000128
195,122,11.900000875
196,102,11.999998417
197,48,10.499999968
198,123,12.199999035
199,31,12.954803594
45,42,11.400000202
200,101,11.1
201,124,14.200179498
202,125,11.200000128
203,76,11.699999383
204,19,11.900000875
205,91,11.1
206,1,11.500000186
207,4,11.300000237
208,15,11.500000186
209,93,13.136212173
56,32,11.1
210,125,11.800000504
211,88,13.8000571
120,9,11.500000186
212,65,11.300000237
213,112,12.199999035
214,54,12.949983786
215,110,11.300000237
216,98,12.1
217,126,11.1
218,127,11.1
219,128,10.627243551
129,125,11.400000202
220,61,12.446787486
221,129,11.699999383
222,130,11.400000202
222,88,11.900000875
223,98,11.1
224,131,11.200000128
225,24,11.200000128
226,77,11.300000237
227,5,11.900000875
81,132,11.599999679
228,133,11.900000875
229,134,11.200000128
230,86,11.699999383
231,135,11.900000875
176,86,12.699997654
44,33,11.200000128
232,123,11.200000128
169,45,11.800000504
233,70,11.900000875
234,42,11.300000237
235,46,10.499999968
14,25,11.401029996
236,82,11.300000237
237,136,11.900000875
238,22,11.500000186
239,137,12.199999035
240,40,11.1
217,76,12.444682744
241,138,11.300000237
74,46,11.999998417
242,101,14.299970641
219,58,10.622878745
243,71,12.499996913
130,92,11.500000186
60,55,11.1
244,98,11.599999679
93,14,11.800000504
201,101,11.1
245,58,12.359637311
246,0,11.500000186
247,34,11.999998417
248,55,11.300000237
247,2,11.999998417
10,56,13.652841969
249,122,11.900000875
250,14,13.99997427
81,109,11.200000128
251,54,11.287086643
252,74,11.300000237
253,76,12.499996913
254,55,12.799991797
255,129,11.599999679
256,139,12.552225295
257,91,11.1
258,140,11.500000186
259,141,12.347935907
260,7,11.200000128
261,140,11.25490196
204,70,11.900000875
262,125,12.599996932
3,39,11.699999383
263,56,11.889032637
114,21,11.300000237
264,142,11.800000504
265,5,11.900000875
266,143,11.699999383
267,20,11.800000504
268,59,11.900000875
269,43,13.738683039
270,58,10.844727495
271,119,13.622878745
272,34,11.1
273,0,11.500000186
274,88,11.900000875
234,22,12.870326411
275,54,12.299998172
276,122,11.900000875
277,10,13.844727495
278,92,11.500000186
279,19,13.99997427
110,59,12.599996932
54,7,11.200000128
280,92,11.500000186
281,82,11.699999383
282,134,13.600038134
283,144,11.200000128
105,32,11.1
109,9,11.1
284,55,11.999998417
0,129,12.399997603
285,3,11.699999383
286,81,13.1
287,115,11.900000875
288,96,11.200000128
289,145,11.800000504
290,146,11.300000237
291,18,11.699999383
109,129,11.800000504
292,131,11.999998417
293,73,13.8000571
294,127,12.499996913
295,127,11.1
296,7,10.702059991
297,111,11.1
298,134,11.200000128
299,28,11.1
300,91,11.1
301,18,11.699999383
302,68,11.200000128
226,44,11.1
303,55,11.800000504
304,11,11.1
305,147,11.200000128
306,40,11.900000875
307,83,9.401029995999998
308,28,11.599999679
309,63,11.200000128
57,86,11.999998417
310,8,12.1
311,50,11.1
142,60,11.300000237
312,40,11.900000875
313,148,11.300000237
314,112,11.400000202
315,2,10.401029995999998
1,35,11.800000504
316,28,11.400000202
273,76,12.299998172
317,149,11.900000875
318,114,11.900000875
319,150,11.900000875
320,63,13.525642898333333
321,142,11.800000504
322,144,11.699999383
323,35,11.800000504
143,98,11.800000504
246,26,11.900000875
324,8,11.900000875
202,151,11.200000128
325,31,12.1
326,152,12.499996913
327,47,11.580575892
328,91,11.1
58,31,11.699999383
329,3,11.800000504
330,79,11.000000142
331,153,11.800000504
332,95,11.800000504
89,135,11.500000437
333,71,11.999998417
334,48,11.500000186
335,63,11.500000186
88,68,11.699999383
214,100,11.699999383
336,61,11.1
337,82,11.1
16,22,11.300000237
338,11,11.599999679
339,111,11.1
340,144,10.622878745
341,33,11.200000128
342,96,11.200000128
343,33,11.599999679
344,143,11.699999383
27,42,11.500000186
54,154,11.200000128
345,125,11.800000504
302,6,11.200000128
346,126,11.1
4,54,11.200000128
347,67,11.500000186
348,41,12.699997654
349,155,12.499996913
205,50,11.1
350,6,11.400000202
351,114,11.900000875
352,110,11.800000504
353,24,11.200000128
354,125,11.400000202
355,90,11.500000186
356,141,10.700000074999998
357,11,11.599999679
283,96,11.200000128
158,65,11.500000186
358,67,11.400000202
359,2,11.1
360,34,11.1
121,2,11.999998417
361,19,11.900000875
195,58,11.800000504
362,6,11.200000128
363,156,11.900000875
364,15,12.699997654
365,122,11.900000875
366,42,11.800000504
367,1,13.399988938
203,32,11.1
368,25,12.401029996
369,157,11.1
370,125,11.300000237
110,3,11.800000504
306,83,11.1
79,35,11.800000504
130,76,11.699999383
371,137,11.500000186
141,158,11.699999383
372,85,11.500000186
373,63,11.200000128
171,142,11.800000504
27,74,11.999998417
374,22,11.111954489
375,89,11.200000128
107,122,11.900000875
376,68,11.400000202
206,133,11.900000875
377,80,10.300000031
228,53,11.1
378,50,11.1
233,107,11.300000237
379,117,11.200000128
380,159,11.800000504
289,138,12.499996913
381,57,12.446787486
382,5,11.900000875
383,146,11.300000237
384,5,11.900000875
385,101,11.599999679
386,101,11.300000237
254,111,11.200000128
265,89,11.200000128
387,84,11.599999679
388,128,9.895880017
309,20,11.300000237
389,7,11.1
361,7,11.400000202
390,102,11.699999383
304,120,11.1
391,67,11.400000202
238,147,11.599999679
205,96,11.200000128
129,160,11.400000202
392,144,11.200000128
231,104,11.500000186
93,101,11.1
393,38,12.1
19,148,11.300000237
394,54,12.699997654
395,130,11.200000128
396,52,11.800000504
397,31,11.699999383
398,95,12.1
399,83,11.500000186
109,112,11.999998417
400,161,12.199999035
42,79,11.699999383
401,55,11.500000186
402,127,11.1
403,107,11.400000202
404,130,12.599996932
405,110,12.199999035
406,86,11.999998417
381,58,11.1
407,79,11.1
408,33,11.599999679
340,138,10.622878745
409,162,11.999998417
410,59,11.599999679
85,37,11.300000237
228,50,11.1
411,2,11.200000128
412,163,11.800000504
413,28,11.400000202
414,62,11.699999383
415,13,10.196910013
416,68,11.200000128
417,115,12.299998172
198,61,12.899998135
418,39,11.599999679
419,2,11.900000875
420,114,12.299998172
421,8,12.399997603
422,60,11.500000186
140,59,11.900000875
423,143,10.095678626
424,21,11.1
425,91,11.1
276,2,11.200000128
339,92,13.200015437
426,129,13.200015437
427,46,11.500000186
422,65,11.599999679
150,21,13.1
428,127,11.1
429,149,11.200000128
430,39,11.200000128
431,143,12.293820026
385,99,11.500000186
432,56,11.900000875
433,147,11.500000186
434,51,11.200000128
31,116,11.200000128
302,117,11.200000128
212,144,12.1
171,34,11.1
403,56,14.798970004
435,164,12.599996932
436,149,11.1
49,165,11.999998417
437,115,11.900000875
197,19,10.200000019
438,99,11.500000186
439,82,14.200179498
440,71,11.699999383
441,117,11.200000128
442,76,12.1
293,151,11.200000128
11,110,12.199999035
63,89,11.200000128
443,40,11.599999679
444,17,10.702059991
445,42,11.300000237
446,79,11.699999383
447,76,11.699999383
448,95,12.1
449,166,10.714393726
386,0,11.500000186
422,167,11.500000186
450,34,11.1
451,146,12.1
452,51,11.699999383
241,162,11.999998417
143,58,11.800000504
156,168,11.900000875
36,50,11.1
411,169,11.800000504
453,99,13.1
454,170,11.500000186
230,82,11.500000186
455,171,11.500000186
456,102,12.996196279
333,90,11.800000504
457,102,11.1
458,85,11.500000186
459,22,11.300000237
460,41,11.500000186
461,43,11.196910013
462,127,11.1
426,9,12.199999035
463,40,11.1
464,86,11.999998417
465,116,11.200000128
414,124,11.300000237
83,52,11.599999679
116,149,12.399997603
466,148,13.500007822
113,14,11.200000128
457,2,11.1
56,129,11.300000237
467,40,11.300000237
234,75,11.200000128
468,107,11.300000237
443,19,11.699999383
469,125,11.400000202
290,111,11.1
312,98,11.1
31,159,11.1
470,1,11.500000186
107,71,11.800000504
471,172,12.299998172
472,144,12.699997654
473,92,11.500000186
474,119,9.798970004
475,123,11.500000186
318,172,12.499996913
476,126,11.1
477,44,11.1
478,25,9.798970004
45,122,11.900000875
81,19,11.699999383
479,83,10.622878745
480,127,11.1
481,62,11.200000128
193,41,11.1
482,89,12.899998135
275,95,11.999998417
483,14,11.200000128
484,156,11.900000875
485,173,11.300000237
438,40,11.599999679
486,174,11.900000875
445,58,11.800000504
175,171,11.500000186
19,159,11.400000202
276,92,11.500000186
367,173,14.299970641
140,3,12.1
468,20,11.300000237
487,12,10.400000029
488,173,11.300000237
489,48,13.699980365
490,14,11.200000128
491,144,11.200000128
492,58,11.800000504
101,74,11.500000186
493,160,11.400000202
44,78,11.1
130,56,11.900000875
75,168,12.299998172
494,13,9.798970004
459,175,12.599996932
495,4,11.200000128
496,92,11.500000186
497,88,11.900000875
490,16,11.900000875
498,63,10.702059991
107,70,11.999998417
22,34,11.1
400,114,12.499996913
499,73,12.499996913
500,44,12.899998135
501,176,11.500000186
502,110,12.199999035
503,125,11.400000202
331,39,12.499996913
504,89,11.200000128
338,148,11.300000237
172,168,11.900000875
264,134,11.200000128
358,4,13.200015437
91,148,11.262469487
403,36,12.1
505,61,11.200000128
506,131,11.200000128
170,82,11.966461092
507,169,11.400000202
24,153,11.1
508,14,10.622878745
402,40,11.900000875
509,143,12.622878745
510,83,12.399997603
511,36,11.900000875
512,13,13.594850022
513,4,11.400000202
514,60,11.699999383
515,47,11.900000875
475,177,11.500000186
516,98,11.699999383
517,12,11.200000128
319,151,11.200000128
518,123,11.1
70,0,11.500000186
519,103,11.1
475,32,11.1
520,25,11.1
204,151,11.400000202
521,110,11.300000237
522,9,11.599999679
523,168,11.900000875
524,138,11.300000237
148,112,11.699999383
306,148,11.300000237
525,144,11.200000128
526,10,11.719788758
415,63,10.196910013
527,89,11.200000128
528,39,13.8000571
451,92,11.500000186
529,81,11.400000202
6,58,11.822363999
530,95,12.340955533
122,77,12.299998172
338,164,12.399997603
229,71,11.699999383
531,178,9.497940009
157,42,11.300000237
8,71,11.800000504
532,119,10.293820026
533,12,11.200000128
534,59,11.497940009
535,53,11.300000237
536,41,11.1
133,133,11.900000875
537,111,12.799991797
538,145,11.400000202
539,83,11.599999679
540,80,11.900000875
541,17,13.401029996
525,153,12.599996932
542,12,12.599996932
543,76,11.701029687
544,33,11.200000128
545,76,11.699999383
190,25,10.1
341,51,11.200000128
339,91,11.1
546,82,11.300000237
547,33,10.622878745
114,123,11.200000128
288,89,11.200000128
548,58,11.652841969
79,169,11.400000202
332,102,11.999998417
549,145,11.196910013
550,152,11.599999679
551,14,11.1
552,42,10.1
553,86,11.999998417
464,94,12.1
115,50,11.1
554,39,12.299998172
432,134,12.399997603
555,0,11.500000186
556,63,11.200000128
557,17,10.1
558,84,11.599999679
559,31,11.699999383
366,168,11.900000875
8,86,11.999998417
560,148,11.300000237
561,40,10.599999953
562,45,11.800000504
563,79,12.699997654
327,153,11.1
564,56,11.900000875
565,1,11.500000186
566,80,11.300000237
567,70,11.200000128
568,46,12.399997603
569,63,10.020818754
382,148,11.300000237
570,134,11.200000128
409,76,12.499996913
298,51,11.150000064
571,101,11.1
572,144,11.900000875
573,21,11.1
567,174,11.900000875
574,172,11.599999679
575,25,10.224938737
576,137,10.400000029
577,67,11.400000202
290,131,11.200000128
578,109,11.999998417
579,145,13.00201185
580,110,11.300000237
267,75,12.599996932
319,20,11.500000186
581,64,11.900000875
279,65,12.599996932
582,145,11.1
583,147,11.200000128
584,21,11.1
515,149,11.200000128
585,94,11.900000875
586,174,11.900000875
587,22,11.500000186
443,55,11.800000504
205,67,11.400000202
588,179,11.800000504
224,22,14.1
589,37,11.999998417
590,123,11.200000128
155,12,11.200000128
506,116,11.200000128
591,112,11.400000202
113,111,11.1
378,65,11.200000128
592,62,12.992706317
306,59,11.900000875
435,115,12.1
493,56,11.900000875
288,91,11.1
593,40,11.900000875
594,84,11.599999679
198,111,12.799991797
22,131,11.200000128
595,67,11.400000202
596,47,11.300000237
597,147,11.500000186
598,126,11.1
599,71,11.699999383
600,54,13.37572413
538,9,11.1
601,4,11.200000128
602,12,11.500000186
603,92,12.399997603
604,42,12.499996913
605,149,11.900000875
606,50,11.599999679
607,51,11.200000128
608,31,11.599999679
146,82,13.99997427
609,67,12.899998135
610,39,11.999998417
611,146,12.599996932
150,42,11.400000202
560,104,12.699997654
612,93,12.969666232
35,77,11.699999383
613,80,11.400000202
416,0,11.500000186
74,3,12.399997603
159,14,11.200000128
614,145,11.800000504
603,117,11.200000128
615,87,12.899998135
38,2,10.400000029
443,176,11.500000186
265,91,11.1
616,121,11.699999383
617,130,11.435792102
618,40,11.900000875
619,154,11.200000128
607,3,11.800000504
222,74,11.999998417
28,40,11.1
620,34,11.800000504
621,54,11.999998417
527,47,12.299998172
622,56,13.1
623,55,11.400000202
624,71,11.800000504
371,7,12.299998172
625,48,11.699999383
626,124,11.300000237
54,74,11.999998417
85,40,11.599999679
627,33,11.200000128
565,55,11.300000237
110,45,12.599996932
628,86,12.1
66,102,11.999998417
629,79,11.599999679
630,45,11.800000504
269,140,10.329147988
602,60,11.500000186
631,85,11.500000186
392,129,11.699999383
632,92,11.500000186
633,125,11.300000237
592,36,11.74046004
634,93,12.938631998
562,32,11.1
635,21,11.1
237,156,11.900000875
636,110,11.300000237
637,102,12.599996932
638,81,11.400000202
95,75,11.200000128
344,12,11.599999679
83,62,11.400000202
639,118,10.1
640,147,11.200000128
424,34,11.1
641,20,11.300000237
642,151,11.1
643,180,10.131517051
644,127,11.1
107,37,11.999998417
432,181,11.999998417
563,176,11.500000186
645,15,12.599996932
646,144,11.900000875
647,22,11.900000875
644,136,11.900000875
169,60,11.300000237
648,130,11.699999383
283,102,11.999998417
373,115,11.900000875
121,14,12.699997654
649,67,11.400000202
481,21,11.1
196,24,11.200000128
488,37,12.399997603
625,180,12.299998172
591,126,11.200000128
650,48,11.699999383
16,123,12.799991797
299,182,14.401029996
651,164,11.1
652,55,11.300000237
653,58,11.685026652
654,147,12.1
406,158,11.699999383
655,181,11.800000504
403,18,14.798970004
656,160,11.400000202
657,61,11.200000128
658,76,10.599999953
123,107,13.99997427
659,76,12.299998172
660,102,11.300000237
76,123,11.800000093
661,100,11.599999679
662,35,11.800000504
663,153,11.1
664,108,11.599999679
464,38,11.800000504
120,8,11.900000875
665,153,12.899998135
250,129,11.699999383
20,173,11.300000237
286,76,12.599996932
666,124,11.300000237
517,115,11.900000875
374,130,11.4994691705
667,17,11.1
668,96,11.200000128
669,61,11.200000128
670,1,11.500000186
671,146,15.508935393
672,7,9.401029995999998
673,62,11.200000128
99,64,11.200000128
674,41,11.1
675,101,11.200000128
15,174,11.900000875
364,122,11.900000875
676,161,10.1
677,183,13.777780705
122,18,12.199999035
678,168,11.900000875
126,104,11.500000186
679,133,12.058607315
680,133,11.400000202
529,59,11.900000875
233,169,11.400000202
659,155,11.699999383
185,42,11.500000186
590,53,11.1
681,112,10.800000069
682,130,11.200000128
683,124,13.600038134
77,101,11.1
684,7,13.899970733
685,84,11.1
686,29,11.637602002
523,66,11.599999679
578,74,12.699997654
391,70,11.900000875
183,95,11.800000504
361,153,11.1
687,80,11.300000237
688,51,10.401029995999998
76,110,11.899999357
689,91,11.1
141,68,13.1
690,102,11.999998417
448,59,11.699999383
691,110,12.699997654
692,48,10.400000029
110,96,11.900000875
125,172,12.1
422,176,11.500000186
442,24,11.200000128
693,110,12.199999035
694,54,11.200000128
695,184,11.986056648
241,34,11.699999383
139,70,11.900000875
696,67,11.500000186
487,16,11.599999679
633,109,11.300000237
697,143,12.003089987
542,53,11.1
698,118,12.020818754
470,135,11.900000875
699,151,11.200000128
700,126,11.1
701,96,11.200000128
702,95,11.800000504
703,147,12.199999035
704,86,11.999998417
451,70,13.500007822
567,45,11.800000504
705,162,14.1
706,127,11.1
487,151,11.200000128
707,162,11.999998417
496,30,11.300000237
708,5,11.900000875
709,33,11.1
172,169,11.400000202
328,8,11.900000875
710,155,11.999998417
711,22,10.599999953
712,126,11.1
713,184,12.169560405
714,87,10.499999968
447,67,11.500000186
715,61,11.622878745
519,121,11.1
716,92,11.500000186
2,177,11.500000186
289,37,11.500000186
506,11,11.599999679
447,172,11.599999679
497,138,11.300000237
717,96,11.200000128
340,19,10.622878745
718,86,11.999998417
719,141,11.999998417
720,91,11.500000186
721,68,11.999998417
722,7,13.600038134
434,131,11.200000128
450,180,11.900000875
723,2,10.800000069
641,39,12.299998172
240,147,11.200000128
678,85,11.500000186
724,56,11.900000875
483,112,11.300000237
362,67,11.400000202
205,145,11.800000504
55,54,11.999998417
80,100,12.199999035
725,126,11.1
726,119,11.401029996
53,85,12.599996932
727,119,10.608638306
276,76,11.699999383
725,2,11.200000128
452,53,12.1
609,40,11.900000875
728,119,14.798970004
215,155,11.699999383
729,185,10.798970004
730,4,11.500000186
662,149,11.200000128
128,54,11.200000128
364,155,11.699999383
731,2,14.1
732,43,10.1
733,33,11.200000128
734,135,11.900000875
735,182,11.555047444
110,159,11.300000237
661,65,11.500000186
736,101,12.899998135
709,186,11.1
344,47,13.500007822
146,102,12.299998172
737,98,11.1
707,55,11.300000237
561,83,10.499999968
738,35,11.800000504
739,120,12.02226882
623,61,11.200000128
740,149,11.200000128
629,9,11.1
665,0,11.800000504
229,50,11.900000875
412,103,12.499996913
140,50,11.1
741,86,11.999998417
742,125,11.500000186
537,159,11.1
433,46,11.500000186
743,86,11.400000202
744,44,11.1
551,149,11.531798276
745,106,11.1
507,126,11.1
746,65,14.200179498
747,15,12.1
748,57,11.200000128
5,136,11.900000875
11,14,12.399997603
366,45,11.800000504
749,144,11.200000128
750,86,13.699980365
402,83,11.1
339,108,11.800000504
657,53,11.200000128
104,3,11.699999383
175,52,13.699980365
751,179,10.1
752,28,10.622878745
193,133,11.900000875
628,19,12.531798276
417,127,13.399988938
753,40,10.200000019
348,141,11.999998417
216,1,11.500000186
16,40,11.300000237
754,151,11.200000128
123,57,11.200000128
574,176,11.500000186
601,92,11.500000186
5,98,11.1
183,83,12.1
755,100,11.599999679
756,83,11.500000186
757,19,11.900000875
158,115,11.900000875
394,42,12.299998172
758,7,11.999998417
589,33,11.200000128
302,181,11.300000237
759,38,11.800000504
760,96,11.200000128
254,146,11.300000237
761,2,11.719788758
762,120,10.622878745
763,19,10.900000053
301,40,11.900000875
517,148,11.300000237
676,76,10.200000019
764,145,11.800000504
640,122,11.900000875
765,28,10.702059991
766,66,11.599999679
82,2,11.200000128
573,127,11.1
693,47,11.900000875
767,42,11.300000237
768,103,11.599999679
769,31,14.299970641
770,175,11.200000128
731,146,14.986056648
771,119,9.798970004
472,4,11.300000237
442,109,11.699999383
401,60,11.300000237
676,108,10.800000069
26,43,11.401029996
772,6,11.200000128
317,40,12.299998172
773,184,10.1
774,2,11.200000128
775,17,11.196910013
776,26,11.900000875
222,48,11.699999383
777,15,13.000008766
624,141,11.999998417
778,146,11.599999679
779,61,10.497940009
780,127,11.1
230,34,11.599999679
781,140,11.500000186
364,79,11.599999679
782,55,11.300000237
783,140,11.500000186
784,147,13.299970641
611,159,11.1
785,74,12.1
135,125,11.400000202
481,142,11.800000504
786,31,11.599999679
787,104,11.500000186
788,109,11.800000504
44,144,11.200000128
91,53,11.1
662,120,11.400000202
373,181,11.400000202
594,151,11.200000128
789,92,11.699999383
790,41,11.900000875
791,56,14.550244276
792,155,11.800000504
793,163,11.800000504
591,122,11.900000875
794,131,13.200015437
550,105,14.1
795,141,10.800000069
796,76,11.999998417
121,95,11.800000504
797,61,11.200000128
40,47,11.500000186
279,142,11.800000504
316,67,11.400000202
798,82,11.699999383
606,30,13.000008766
799,164,12.599996932
800,149,10.702059991
499,40,12.799991797
801,84,10.499999968
7,52,11.999998417
485,54,12.1
725,110,14.200179498
802,130,11.200000128
517,1,11.500000186
387,156,11.900000875
803,2,11.200000128
376,31,11.599999679
102,164,11.1
152,162,11.999998417
274,111,11.1
122,112,13.299970641
2,7,11.200000128
804,65,11.500000186
805,99,11.900000875
806,111,11.1
807,123,11.200000128
384,61,11.200000128
780,85,11.500000186
637,46,11.500000186
807,53,12.899998135
808,0,12.199999035
659,180,11.999998417
809,91,11.1
810,11,12.499996913
794,115,12.1
49,31,11.800000504
604,162,15.600312917
239,19,13.600038134
811,24,11.200000128
784,32,11.1
559,5,11.900000875
43,98,12.799991797
433,110,12.599996932
187,42,11.300000237
812,14,11.900000875
430,104,12.599996932
691,6,11.200000128
63,171,11.500000186
618,95,11.999998417
803,26,11.900000875
384,142,11.800000504
371,24,11.200000128
759,130,11.200000128
542,6,11.200000128
386,42,11.300000237
53,20,11.300000237
813,14,11.500000186
187,15,13.8000571
522,155,12.299998172
678,125,11.400000202
814,147,11.1
434,123,11.200000128
198,95,11.800000504
815,58,11.213943352
816,17,10.798970004
81,82,11.400000202
348,28,11.400000202
817,18,11.699999383
635,36,11.800000504
166,122,11.900000875
818,9,11.1
618,31,14.901342913
291,85,11.500000186
367,74,13.1
819,175,11.500000186
647,44,11.1
812,156,11.900000875
82,89,11.200000128
820,21,11.1
710,99,11.800000504
226,107,12.799991797
350,86,12.199999035
465,111,11.1
232,127,11.1
233,44,11.1
821,59,11.400000202
822,101,13.1
284,80,11.300000237
823,63,10.923908741
824,137,11.599999679
781,180,11.699999383
825,145,11.1
826,143,11.699999383
777,79,11.999998417
827,85,11.500000186
828,146,13.1
544,75,11.200000128
441,75,11.500000186
778,41,11.1
829,12,14.299970641
60,80,10.700000074999998
206,18,12.899998135
637,144,11.699999383
794,55,12.699997654
830,76,11.699999383
831,16,11.800000504
832,23,11.800000504
833,9,12.078902971
392,3,11.800000504
834,10,10.401029995999998
635,77,11.300000237
835,187,12.37572413
836,73,11.599999679
352,90,11.500000186
724,102,11.999998417
837,137,11.264943898
535,110,11.300000237
31,28,11.400000202
838,93,12.196367484
99,131,11.200000128
24,159,11.900000875
483,50,11.1
506,22,12.799991797
839,11,11.999998417
840,9,11.1
841,62,13.000008766
842,151,11.200000128
339,32,11.1
795,37,10.200000019
264,111,11.476308608
722,123,13.8000571
843,121,13.520216403
844,26,11.900000875
404,154,11.699999383
666,62,11.200000128
228,89,11.200000128
395,98,11.1
845,115,11.401029996
776,107,11.500000186
8,32,11.300000237
608,3,11.699999383
639,185,10.1
581,71,11.800000504
176,39,12.199999035
160,156,11.900000875
846,80,11.1
611,56,11.900000875
847,129,10.200000019
476,42,11.300000237
848,112,11.400000202
849,132,11.699999383
353,51,11.200000128
473,138,11.300000237
489,121,13.399988938
572,158,11.699999383
430,112,12.199999035
205,28,11.400000202
125,73,11.900000875
795,54,10.400000029
850,58,10.1
851,82,12.699997654
839,57,11.900000875
498,118,10.702059991
852,146,14.219186408
655,168,12.599996932
293,102,11.999998417
258,84,11.400000202
750,22,11.800000504
378,104,11.500000186
853,159,11.1
775,119,11.196910013
54,75,11.200000128
240,24,11.200000128
854,175,11.200000128
839,73,11.900000875
41,136,11.900000875
45,26,11.900000875
530,7,11.200000128
855,93,11.51453927
755,102,11.500000186
496,6,11.200000128
856,121,12.599996932
83,16,11.599999679
104,160,11.400000202
857,126,11.1
635,40,11.900000875
858,23,10.599999953
859,123,11.200000128
860,61,12.668636236
861,73,11.900000875
862,14,10.622878745
489,151,11.200000128
863,149,11.200000128
492,32,11.1
589,67,11.400000202
864,138,11.999998417
140,117,11.200000128
455,54,11.800000504
601,82,11.699999383
490,95,11.800000504
51,91,11.1
865,155,11.500000186
578,8,12.199999035
866,54,11.200000128
134,109,11.200000128
627,15,14.600312917
550,19,11.900000875
99,74,11.999998417
867,0,11.500000186
868,43,10.719788758
553,151,11.200000128
869,144,11.200000128
35,135,11.900000875
799,96,11.200000128
336,25,11.1
870,33,11.200000128
857,91,11.1
816,13,10.798970004
586,74,11.599999679
638,42,11.300000237
273,84,13.539713034
871,58,10.1
135,110,12.199999035
872,19,11.986056648
618,148,11.300000237
470,81,11.400000202
873,84,11.599999679
325,24,11.200000128
327,73,11.900000875
874,184,11.996196279
777,177,11.500000186
578,154,11.200000128
420,99,11.500000186
